PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,NameLength,FamilySize
1,0,3,1,22.0,7.25,2,23,1
2,1,1,0,38.0,71.2833,1,51,1
3,1,3,0,26.0,7.925,2,22,0
4,1,1,0,35.0,53.1,2,44,1
5,0,3,1,35.0,8.05,2,24,0
6,0,3,1,29.6991176471,8.4583,3,16,0
7,0,1,1,54.0,51.8625,2,23,0
8,0,3,1,2.0,21.075,2,30,4
9,1,3,0,27.0,11.1333,2,49,2
10,1,2,0,14.0,30.0708,1,35,1
11,1,3,0,4.0,16.7,2,31,2
12,1,1,0,58.0,26.55,2,24,0
13,0,3,1,20.0,8.05,2,30,0
14,0,3,1,39.0,31.275,2,27,6
15,0,3,0,14.0,7.8542,2,36,0
16,1,2,0,55.0,16.0,2,32,0
17,0,3,1,2.0,29.125,3,20,5
18,1,2,1,29.6991176471,13.0,2,28,0
19,0,3,0,31.0,18.0,2,55,1
20,1,3,0,29.6991176471,7.225,1,23,0
21,0,2,1,35.0,26.0,2,20,0
22,1,2,1,34.0,13.0,2,21,0
23,1,3,0,15.0,8.0292,3,27,0
24,1,1,1,28.0,35.5,2,28,0
25,0,3,0,8.0,21.075,2,29,4
26,1,3,0,38.0,31.3875,2,57,6
27,0,3,1,29.6991176471,7.225,1,23,0
28,0,1,1,19.0,263.0,2,30,5
29,1,3,0,29.6991176471,7.8792,3,29,0
30,0,3,1,29.6991176471,7.8958,2,19,0
31,0,1,1,40.0,27.7208,1,24,0
32,1,1,0,29.6991176471,146.5208,1,46,1
33,1,3,0,29.6991176471,7.75,3,24,0
34,0,2,1,66.0,10.5,2,21,0
35,0,1,1,28.0,82.1708,1,23,1
36,0,1,1,42.0,52.0,2,30,1
37,1,3,1,29.6991176471,7.2292,1,16,0
38,0,3,1,21.0,8.05,2,24,0
39,0,3,0,18.0,18.0,2,34,2
40,1,3,0,14.0,11.2417,1,27,1
41,0,3,0,40.0,9.475,2,46,1
42,0,2,0,27.0,21.0,2,56,1
43,0,3,1,29.6991176471,7.8958,1,19,0
44,1,2,0,3.0,41.5792,1,40,3
45,1,3,0,19.0,7.8792,3,29,0
46,0,3,1,29.6991176471,8.05,2,24,0
47,0,3,1,29.6991176471,15.5,3,17,1
48,1,3,0,29.6991176471,7.75,3,25,0
49,0,3,1,29.6991176471,21.6792,1,19,2
50,0,3,0,18.0,17.8,2,45,1
51,0,3,1,7.0,39.6875,2,26,5
52,0,3,1,21.0,7.8,2,28,0
53,1,1,0,49.0,76.7292,1,40,1
54,1,2,0,29.0,26.0,2,50,1
55,0,1,1,65.0,61.9792,1,30,1
56,1,1,1,29.6991176471,35.5,2,17,0
57,1,2,0,21.0,10.5,2,17,0
58,0,3,1,28.5,7.2292,1,19,0
59,1,2,0,5.0,27.75,2,28,3
60,0,3,1,11.0,46.9,2,34,7
61,0,3,1,22.0,7.2292,1,21,0
62,1,1,0,38.0,80.0,2,19,0
63,0,1,1,45.0,83.475,2,27,1
64,0,3,1,4.0,27.9,2,21,5
65,0,1,1,29.6991176471,27.7208,1,21,0
66,1,3,1,29.6991176471,15.2458,1,24,2
67,1,2,0,29.0,10.5,2,28,0
68,0,3,1,19.0,8.1583,2,24,0
69,1,3,0,17.0,7.925,2,31,6
70,0,3,1,26.0,8.6625,2,17,2
71,0,2,1,32.0,10.5,2,26,0
72,0,3,0,16.0,46.9,2,26,7
73,0,2,1,21.0,73.5,2,20,0
74,0,3,1,26.0,14.4542,1,27,1
75,1,3,1,32.0,56.4958,2,13,0
76,0,3,1,25.0,7.65,2,23,0
77,0,3,1,29.6991176471,7.8958,2,17,0
78,0,3,1,29.6991176471,8.05,2,24,0
79,1,2,1,0.83,29.0,2,29,2
80,1,3,0,30.0,12.475,2,24,0
81,0,3,1,22.0,9.0,2,20,0
82,1,3,1,29.0,9.5,2,27,0
83,1,3,0,29.6991176471,7.7875,3,30,0
84,0,1,1,28.0,47.1,2,23,0
85,1,2,0,17.0,10.5,2,19,0
86,1,3,0,33.0,15.85,2,55,3
87,0,3,1,16.0,34.375,2,22,4
88,0,3,1,29.6991176471,8.05,2,29,0
89,1,1,0,23.0,263.0,2,26,5
90,0,3,1,24.0,8.05,2,22,0
91,0,3,1,29.0,8.05,2,20,0
92,0,3,1,20.0,7.8542,2,26,0
93,0,1,1,46.0,61.175,2,27,1
94,0,3,1,26.0,20.575,2,23,3
95,0,3,1,59.0,7.25,2,17,0
96,0,3,1,29.6991176471,8.05,2,27,0
97,0,1,1,71.0,34.6542,1,25,0
98,1,1,1,23.0,63.3583,1,31,1
99,1,2,0,34.0,23.0,2,36,1
100,0,2,1,34.0,26.0,2,17,1
101,0,3,0,28.0,7.8958,2,23,0
102,0,3,1,29.6991176471,7.8958,2,32,0
103,0,1,1,21.0,77.2875,2,25,1
104,0,3,1,33.0,8.6542,2,26,0
105,0,3,1,37.0,7.925,2,30,2
106,0,3,1,28.0,7.8958,2,21,0
107,1,3,0,21.0,7.65,2,32,0
108,1,3,1,29.6991176471,7.775,2,22,0
109,0,3,1,38.0,7.8958,2,15,0
